 codigo_orgao_superior ;                           nome_orgao_superior                            ; codigo_orgao_solicitante ;                                   nome_orgao_solicitante                                   ;  numero_pcdp  ; localizador ; data_emissao ; data_embarque ; valor_tarifa_comercial ; percentual_desconto_aplicado ; valor_tarifa_governo ; valor_tarifa_embarque ; valor_bilhete ;           companhia_aerea            ; classe_tarifaria ;                                           regra_tarifaria                                            ; no_show ; remarcado ; cancelado ; valor_multas ; valor_reembolso ; diferenca_tarifa ; situacao_bilhete 
3; Fundação Instituto Brasileiro de Geografia e Estatística                 ;21520; Unidade Estadual do IBGE em Rondônia                                                       ; 014534/19-1C  ; KIHJSN      ; 05/07/2019   ; 10/08/2019    ;                 790.90 ;                         5.00 ;               751.35 ;                 31.08 ;        782.43 ; AZUL LINHAS AÉREAS BRASILEIRA        ; L,L              ; https://www.voeazul.com.br/para-sua-viagem/informacoes-para-viajar/remarcacao--cancelamento          ; Não     ; Não       ; Sim       ;         0.00 ;            0.00 ;             0.00 ; Cancelado
14; Ministério da Agricultura, Pecuária e Abastecimento                      ;2027; Departamento de Saúde Animal                                                               ; 019813/19     ; GKHYUZ      ; 28/06/2019   ; 09/07/2019    ;                 919.90 ;                         0.00 ;               919.90 ;                 31.85 ;        951.75 ; GOL Linhas Aéreas Inteligentes       ; W                ; https://www.voegol.com.br/pt/informacoes/tarifas                                                     ; Não     ; Não       ; Sim       ;         0.00 ;            0.00 ;             0.00 ; Cancelado
14; Ministério da Agricultura, Pecuária e Abastecimento                      ;2027; Departamento de Saúde Animal                                                               ; 019813/19     ; ZIHVPF      ; 28/06/2019   ; 11/07/2019    ;                 919.90 ;                         0.00 ;               919.90 ;                 29.49 ;        949.39 ; GOL Linhas Aéreas Inteligentes       ; W                ; https://www.voegol.com.br/pt/informacoes/tarifas                                                     ; Não     ; Não       ; Sim       ;         0.00 ;            0.00 ;             0.00 ; Cancelado
14; Ministério da Agricultura, Pecuária e Abastecimento                      ;2028; Departamento de Inspeção de Produto de Origem Vegetal                                      ; 021168/19     ; MW87UQ      ; 12/07/2019   ; 30/07/2019    ;                 449.90 ;                         3.00 ;               436.40 ;                 29.49 ;        465.89 ; GOL Linhas Aéreas Inteligentes       ; U,U              ; https://www.voegol.com.br/pt/informacoes/tarifas                                                     ; Não     ; Não       ; Sim       ;         0.00 ;            0.00 ;             0.00 ; Cancelado
14; Ministério da Agricultura, Pecuária e Abastecimento                      ;2029; Departamento de Inspeção de Produtos de Origem Animal                                      ; 009388/19     ; UFBM4L      ; 24/04/2019   ; 01/06/2019    ;                 866.90 ;                         0.00 ;               866.90 ;                 29.49 ;        896.39 ; GOL Linhas Aéreas Inteligentes       ; P,P              ; https://www.voegol.com.br/pt/informacoes/tarifas                                                     ; Não     ; Não       ; Sim       ;         0.00 ;            0.00 ;             0.00 ; Cancelado
14; Ministério da Agricultura, Pecuária e Abastecimento                      ;2029; Departamento de Inspeção de Produtos de Origem Animal                                      ; 009694/19-1C  ; FEMC6Y      ; 17/04/2019   ; 26/05/2019    ;                1127.90 ;                         3.00 ;              1094.06 ;                 25.89 ;       1119.95 ; GOL Linhas Aéreas Inteligentes       ; E                ; https://www.voegol.com.br/pt/informacoes/tarifas                                                     ; Não     ; Não       ; Sim       ;         0.00 ;            0.00 ;             0.00 ; Cancelado
14; Ministério da Agricultura, Pecuária e Abastecimento                      ;2029; Departamento de Inspeção de Produtos de Origem Animal                                      ; 009725/19-1C  ; DSHYXB      ; 22/04/2019   ; 26/05/2019    ;                 781.90 ;                         3.00 ;               758.44 ;                 25.89 ;        784.33 ; GOL Linhas Aéreas Inteligentes       ; E                ; https://www.voegol.com.br/pt/informacoes/tarifas                                                     ; Não     ; Não       ; Sim       ;         0.00 ;            0.00 ;             0.00 ; Cancelado
14; Ministério da Agricultura, Pecuária e Abastecimento                      ;2029; Departamento de Inspeção de Produtos de Origem Animal                                      ; 010154/19     ; ALU32Q      ; 22/04/2019   ; 26/05/2019    ;                1184.90 ;                         0.00 ;              1184.90 ;                 32.95 ;       1217.85 ; GOL Linhas Aéreas Inteligentes       ; P                ; https://www.voegol.com.br/pt/informacoes/tarifas                                                     ; Não     ; Não       ; Sim       ;         0.00 ;            0.00 ;             0.00 ; Cancelado
14; Ministério da Agricultura, Pecuária e Abastecimento                      ;2029; Departamento de Inspeção de Produtos de Origem Animal                                      ; 010154/19     ; UGWI3V      ; 22/04/2019   ; 01/06/2019    ;                1024.90 ;                         3.00 ;               994.15 ;                 29.49 ;       1023.64 ; GOL Linhas Aéreas Inteligentes       ; E                ; https://www.voegol.com.br/pt/informacoes/tarifas                                                     ; Não     ; Não       ; Sim       ;         0.00 ;            0.00 ;             0.00 ; Cancelado
14; Ministério da Agricultura, Pecuária e Abastecimento                      ;2029; Departamento de Inspeção de Produtos de Origem Animal                                      ; 010985/19-1C  ; PKUBFJ      ; 25/04/2019   ; 25/05/2019    ;                 971.90 ;                         0.00 ;               971.90 ;                 29.49 ;       1001.39 ; GOL Linhas Aéreas Inteligentes       ; W                ; https://www.voegol.com.br/pt/informacoes/tarifas                                                     ; Não     ; Não       ; Sim       ;         0.00 ;            0.00 ;             0.00 ; Cancelado
